No.,English,"Spanish
español (castellano)","IPA
pronunciation"
1,I,yo,ʝo
2,you (singular),"tú, usted (formal)","tu, us'teð "
3,he,él,el
4,we,nosotros,no'sotɾos 
5,you (plural),"vosotros, ustedes (formal)","bo'sotɾos , us'teðes "
6,they,ellos,'eʎos 
7,this,este,'este 
8,that,"ese, aquel","'ese , a'kel "
9,here,"aquí, acá","a'ki , a'ka "
10,there,ahí,a'i 
11,who,quien,kjen
12,what,que,ke
13,where,donde,'donde 
14,when,cuando,'kwando 
15,how,como,'komo 
16,not,no,no
17,all,todo,'toðo 
18,many,muchos,'mut͡ʃos 
19,some,algunos,al'ɣunos 
20,few,poco,'poko 
21,other,otro,'otɾo 
22,one,uno,'uno 
23,two,dos,dos
24,three,tres,tɾes
25,four,cuatro,'kwatɾo 
26,five,cinco,'θiŋko 
27,big,grande,'ɡɾande 
28,long,largo,'laɾɣo 
29,wide,ancho,'ant͡ʃo 
30,thick,grueso,'ɡɾweso 
31,heavy,pesado,pe'saðo 
32,small,pequeño,pe'keɲo 
33,short,corto,'koɾto 
34,narrow,estrecho,es'tɾet͡ʃo 
35,thin,"delgado, flaco","del'ɣaðo , 'flako "
36,woman,mujer,mu'xeɾ 
37,man (male),hombre,'ombɾe 
38,man (human),hombre,'ombɾe 
39,child,niño,'niɲo 
40,wife,"esposa, mujer","es'posa , mu'xeɾ "
41,husband,"esposo, marido","es'poso , ma'ɾiðo "
42,mother,madre,'maðɾe 
43,father,padre,'paðɾe 
44,animal,animal,ani'mal 
45,fish,"pez, pescado","peθ, pes'kaðo "
46,bird,pájaro,'paxaɾo 
47,dog,perro,'pero 
48,louse,piojo,'pjoxo 
49,snake,serpiente,seɾ'pjente 
50,worm,gusano,gu'sano 
51,tree,árbol,'aɾβol 
52,forest,bosque,'boske 
53,stick,palo,'palo 
54,fruit,fruta,fɾuta
55,seed,semilla,se'miʎa 
56,leaf,hoja,'oxa 
57,root,raíz,ra'iθ 
58,bark (of a tree),corteza,koɾ'teθa 
59,flower,flor,floɾ
60,grass,hierba,'ʝeɾβa 
61,rope,cuerda,'kweɾða 
62,skin,piel,pjel
63,meat,carne,'kaɾne 
64,blood,sangre,'saŋɡɾe 
65,bone,hueso,'weso 
66,fat (noun),grasa,'ɡɾasa 
67,egg,huevo,'weβo 
68,horn,cuerno,'kweɾno 
69,tail,cola,'kola 
70,feather,pluma,'pluma 
71,hair,cabello,ka'βeʎo 
72,head,cabeza,ka'βeθa 
73,ear,oreja,o'ɾexa 
74,eye,ojo,'oxo 
75,nose,nariz,na'ɾiθ 
76,mouth,boca,'boka 
77,tooth,diente,'djente 
78,tongue,lengua,'leŋɡwa 
79,fingernail,uña,'uɲa 
80,foot,pie,pje
81,leg,pierna,'pjeɾna 
82,knee,rodilla,ro'ðiʎa 
83,hand,mano,'mano 
84,wing,ala,'ala 
85,belly,barriga,ba'riɣa 
86,guts,tripas,'tɾipas 
87,neck,cuello,'kweʎo 
88,back,espalda,es'palda 
89,breast,pecho,'pet͡ʃo 
90,heart,corazón,koɾa'θon 
91,liver,hígado,'iɣaðo 
92,to drink,beber,be'βeɾ 
93,to eat,comer,ko'meɾ 
94,to bite,morder,moɾ'ðeɾ 
95,to suck,chupar,t͡ʃu'paɾ 
96,to spit,escupir,esku'piɾ 
97,to vomit,vomitar,bomi'taɾ 
98,to blow,soplar,so'plaɾ 
99,to breathe,respirar,respi'ɾaɾ 
100,to laugh,reír,re'iɾ 
101,to see,ver,beɾ
102,to hear,oír,o'iɾ 
103,to know,saber,sa'βeɾ 
104,to think,pensar,pen'saɾ 
105,to smell,oler,o'leɾ 
106,to fear,temer,te'meɾ 
107,to sleep,dormir,doɾ'miɾ 
108,to live,vivir,bi'βiɾ 
109,to die,morir,mo'ɾiɾ 
110,to kill,matar,ma'taɾ 
111,to fight,pelear,pele'aɾ 
112,to hunt,cazar,ka'θaɾ 
113,to hit,golpear,ɡolpe'aɾ 
114,to cut,cortar,koɾ'taɾ 
115,to split,partir,paɾ'tiɾ 
116,to stab,apuñalar,apuɲa'laɾ 
117,to scratch,"arañar, rascar","aɾa'ɲaɾ , ras'kaɾ "
118,to dig,cavar,ka'βaɾ 
119,to swim,nadar,na'ðaɾ 
120,to fly,volar,bo'laɾ 
121,to walk,caminar,kami'naɾ 
122,to come,venir,be'niɾ 
123,to lie (as in a bed),echarse (action),e't͡ʃaɾse 
124,to sit,sentarse (action),sen'taɾse 
125,to stand,"levantarse (action), estar de pie (state)","leβan'taɾse , es'taɾ de pje"
126,to turn (intransitive),girar,xi'ɾaɾ 
127,to fall,caer,ka'eɾ 
128,to give,dar,daɾ
129,to hold,tener,te'neɾ 
130,to squeeze,apretar,apɾe'taɾ 
131,to rub,frotar,fɾo'taɾ 
132,to wash,lavar,la'βaɾ 
133,to wipe,limpiar,lim'pjaɾ 
134,to pull,"tirar de, jalar","ti'ɾaɾ de, xa'laɾ "
135,to push,empujar,empu'xaɾ 
136,to throw,tirar,ti'ɾaɾ 
137,to tie,atar,a'taɾ 
138,to sew,coser,ko'seɾ 
139,to count,contar,kon'taɾ 
140,to say,decir,de'θiɾ 
141,to sing,cantar,kan'taɾ 
142,to play,jugar,xu'ɣaɾ 
143,to float,flotar,flo'taɾ 
144,to flow,fluir,flu'iɾ 
145,to freeze,helar,e'laɾ 
146,to swell,hincharse,in't͡ʃaɾse 
147,sun,sol,sol
148,moon,luna,'luna 
149,star,estrella,es'tɾeʎa 
150,water,agua,'aɣwa 
151,rain,lluvia,'ʎuβja 
152,river,río,'rio 
153,lake,lago,'laɣo 
154,sea,mar,maɾ
155,salt,sal,sal
156,stone,piedra,'pjeðɾa 
157,sand,arena,a'ɾena 
158,dust,polvo,'polβo 
159,earth,tierra,'tjera 
160,cloud,nube,'nuβe 
161,fog,niebla,'njeβla 
162,sky,cielo,'θjelo 
163,wind,viento,'bjento 
164,snow,nieve,'njeβe 
165,ice,hielo,'jelo 
166,smoke,humo,'umo 
167,fire,fuego,'fweɣo 
168,ash,cenizas,θe'niθas 
169,to burn,quemar,ke'maɾ 
170,road,camino,ka'mino 
171,mountain,montaña,mon'taɲa 
172,red,rojo,'roxo 
173,green,verde,'beɾðe 
174,yellow,amarillo,ama'ɾiʎo 
175,white,blanco,'blaŋko 
176,black,negro,'neɣɾo 
177,night,noche,'not͡ʃe 
178,day,día,'dia 
179,year,año,'aɲo 
180,warm,cálido,'kaliðo 
181,cold,frío,'fɾio 
182,full,lleno,'ʎeno 
183,new,nuevo,'nweβo 
184,old,viejo,'bjexo 
185,good,bueno,'bweno 
186,bad,malo,'malo 
187,rotten,podrido,poð'ɾiðo 
188,dirty,sucio,'suθjo 
189,straight,recto,'rekto 
190,round,redondo,re'ðondo 
191,sharp (as a knife),"agudo, afilado","a'ɣuðo , afi'laðo "
192,dull (as a knife),"sin filo, embotado, romo","sin'filo , embo'taðo , 'romo "
193,smooth,liso,l'iso 
194,wet,mojado,mo'xaðo 
195,dry,seco,'seko 
196,correct,correcto,ko'rekto 
197,near,cerca,'θeɾka 
198,far,lejos,'lexos 
199,right,derecha,de'ɾet͡ʃa 
200,left,izquierda,iθ'kjeɾða 
201,at,"a, en","a, en"
202,in,en,en
203,with,con,kon
204,and,"y, e","i, e"
205,if,si,si
206,because,porque,'poɾke 
207,name,nombre,'nombɾe
